question,candidate answer,is correct, sent_stemmed_overlap,sent_text,sent_tags,sent_tokens,nbr_text,nbr_tags,nbr_tokens,topic1,topic2, answer_type
What is the normal load for second year students,Normal load for the first and second year students is 16-20 credits and for the third and fourth year students is 16-22 credits.,1,2.400980191995123,3.7554341594628515,2.8921731556600268,7.28040272622613,3.351909261650567,2.8921731556600268,7.28040272622613,-1.0289915108550527,-0.5144957554275263,0.0
What is the normal load for second year students,"When a student registers for more credits than the stipulated normal load, it is called the overload.",0,2.0,0.9102392266268373,0.4306269742216893,2.0357919403645193,2.352934267515801,0.4306269742216893,2.0357919403645193,0.0,0.0,0.0
What is the normal load for second year students,Second year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 20 credits.,0,2.0,0.0,0.0,4.32808512266689,0.9102392266268373,0.0,4.32808512266689,0.0,0.0,0.0
What is the normal load for second year students,First year students cannot take any overload.,0,2.0,0.0,2.8853900817779268,2.8853900817779268,2.352934267515801,2.8853900817779268,2.8853900817779268,0.0,0.0,0.0
What is the normal load for second year students,Third and fourth year students having a CGPA of more than 8.0 can take an overload of up to 2 additional credits over 22 credits.,0,2.0,0.0,0.0,2.8853900817779268,0.0,0.0,2.8853900817779268,0.0,0.0,0.0
What is the normal load for second year students,A student repeating the first year may be allowed transfer of credits only for the non- technical courses that A student repeating the first year or A student repeating the first year had passed in A student repeating the first year or A student repeating the first year previous attempt.,0,2.0,0.0,0.0,2.8853900817779268,0.0,0.0,2.8853900817779268,0.0,0.0,0.0
What is the normal load for second year students,"If a student repeating the first year fails in more than 1 technical courses in either semester of the repeat year, a student repeating the first year or a student repeating the first year program will be terminated.",0,2.0,0.0,0.0,2.8853900817779268,0.0,0.0,2.8853900817779268,0.0,0.0,0.0
What is the normal load for second year students,The number of seats and the process for application and admission are described in each year’s prospectus.,0,1.0,0.0,0.0,1.4426950408889634,0.0,0.0,1.4426950408889634,2.0,0.0,0.0
What is the normal load for second year students,"Generally, the student should register in a manner that the student or A student can clear as many backlog courses as are available.",0,1.0,0.0,2.8853900817779268,1.4426950408889634,0.0,2.8853900817779268,1.4426950408889634,2.0,0.0,0.0
What is the normal load for second year students,"CGPA computation for Honors students at the end of 8th semester will done similar to a non-Honors student, ie, a non-Honors student will be allowed to not-count worst grades of courses up to 8 credits.",0,1.0,0.0,2.8853900817779268,1.4426950408889634,0.0,2.8853900817779268,1.4426950408889634,2.0,0.0,0.0
What is the normal load for second year students,"Moreover, such students will not be considered for any award or medal.",0,1.0,0.0,1.0277966847395015,0.5138983423697507,0.0,1.0277966847395015,0.5138983423697507,0.0,2.0,0.0
What is the normal load for second year students,"btech student, who has already completed btech or btech graduation requirement (including registration for a minimum of 8 semesters on campus), will be allowed to register for at most two extra courses to improve btech or btech CGPA.",0,1.0,0.0,0.9102392266268373,0.45511961331341866,0.0,0.9102392266268373,0.45511961331341866,0.0,2.0,0.0
What is the normal load for second year students,Some seats may be reserved for foreign students.,0,1.0,0.0,1.8204784532536746,0.9102392266268373,0.0,1.8204784532536746,0.9102392266268373,2.0,0.0,0.0
What is the normal load for second year students,Credits earned by a non-degree student at IIIT-Delhi cannot be applied towards any degree or diploma offered by IIIT-Delhi at any time.,0,1.0,0.0,1.8204784532536746,0.9102392266268373,0.0,1.8204784532536746,0.9102392266268373,2.0,0.0,0.0
What is the normal load for second year students,A non-degree student is a student registered for a degree in a recognized university or  institute in India or abroad and who is officially sponsored by that Institute or university to complete part of the academic requirements at IIIT-Delhi.,0,1.0,0.0,1.8204784532536746,0.9102392266268373,0.0,1.8204784532536746,0.9102392266268373,2.0,0.0,0.0
What is the normal load for second year students,"CGPA computation will remain the same for first 5 semesters, even if a student has done ""extra credits.""",0,1.0,0.0,0.4306269742216893,0.21531348711084464,0.0,0.4306269742216893,0.21531348711084464,0.0,2.0,0.0
What is the normal load for second year students,"Out of to 6 credits of courses that are offered during the summer term (inclusive of SG or CW credits), for students who have completed the 2nd year of to 6 credits of courses that are offered during the summer term (inclusive of SG or CW credits) btech program, may be allowed to take up to 4 credits for IP or IS or UR or BTP.",0,2.0,0.0,0.4306269742216893,1.4426950408889634,0.0,0.4306269742216893,1.4426950408889634,0.0,0.0,0.0
What is the normal load for second year students,"Further, the underload of as low as 4 credits can be availed by ECE, CSAM and CSSS students in any semester of the 3rd and 4th year, while CSE, CSD and CSB students can do so only in the 8th Semester.",0,2.0,0.0,2.8853900817779268,1.4426950408889634,0.0,2.8853900817779268,1.4426950408889634,0.0,0.0,0.0
What is the normal load for second year students,"If a student passes 3 or less technical courses in the entire first year and was on leave in either of the two semesters, a student will have to repeat the first year, ie, a student or she has to do first semester in the next academic year and will not be allowed to continue with the third semester.",0,2.0,0.0,0.4306269742216893,1.4426950408889634,0.0,0.4306269742216893,1.4426950408889634,0.0,0.0,0.0
What is the normal load for second year students,The maximum duration within which the requirements must be completed is six years (12 semesters) (including the semester in which student took semester leave or the repeated semester or year).,0,2.0,0.0,0.4306269742216893,1.4426950408889634,0.0,0.4306269742216893,1.4426950408889634,0.0,0.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript","Also, all attempts in that course will be recorded in the respective semesters’ transcripts and the repeat course will not be permitted for late drop after mid-semester examination.",1,1.748314552243075,-0.03970112749544718,2.196591859313062,2.6542069060180737,-0.2820578104480857,2.196591859313062,2.6542069060180737,1.0684144485929905,-1.7483145522430752,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",The pass grade for the respective course will count towards the SGPA of the semester in which the course is passed and not in the semester where F’ grade was awarded.,0,4.0,0.8825241911238361,4.072567201813621,4.404997844306008,0.8825241911238361,4.072567201813621,4.404997844306008,0.0,0.0,0.0
"If I fail a course and take it again in the later semester, will my earlier course with F grade be removed from the transcript",The limit one course in a semester for OC means that no more than 4 credits of OC can be taken in a semester.,0,2.0,0.0,0.2769378934088574,3.162327975186784,0.2611892565642242,0.2769378934088574,3.162327975186784,2.0,3.0,0.0
